"ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Kapasiteet","x","y"
"233","Kirkkoherrantie","Kyrkoherdevägen","Kirkkoherrantie","Kirkkoherrantie 5","Kyrkoherdevägen 5","Helsinki","Helsingfors",10,24.9728193757834,60.2249303574235
"234","Otto Brandtin tie","Otto Brandts väg","Otto Brandtin tie","Tulvaniityntie 2","Flödängsvägen 2","Helsinki","Helsingfors",20,24.9781389181685,60.2317840575086
"235","Katariina Saksilaisen katu","Katarina av Sachsens gata","Katariina Saksilaisen katu","Katariina Saksilaisen katu 6","Katarina av Sachsens gata 6","Helsinki","Helsingfors",16,24.9844208812225,60.2172068185826
"236","Hernepellontie","Ärtåkersvägen","Hernepellontie","Harjannetie 44","Krönvägen 44","Helsinki","Helsingfors",14,24.9886129703087,60.2242412608413
"237","Aulangontie","Aulankovägen","Aulangontie","Harjannetie 2","Krönvägen 2","Helsinki","Helsingfors",16,24.9985804201601,60.2302596315427
"238","Pihlajamäki","Rönnbacka","Pihlajamäki","Meripihkatie 3","Bärnstensvägen 3","Helsinki","Helsingfors",16,25.0103139042596,60.2345785634218
"239","Viikin tiedepuisto","Viks forskarpark","Viikki Science Park","Viikintori","Vikstorget","Helsinki","Helsingfors",28,25.0100484016428,60.2275394155784
"240","Viikin normaalikoulu","Normalskolan i Vik","Viikki Teacher Training School","Kevättori","Vårtorget","Helsinki","Helsingfors",20,25.0275940265593,60.2274649666156
"241","Agronominkatu","Agronomgatan","Agronominkatu","Latokartanontori","Ladugårdstorget","Helsinki","Helsingfors",24,25.0328574018929,60.2340530021105
"242","Von Daehnin katu","Von Daehns gata","Von Daehnin katu","Von Daehnin katu 14","Von Daehns gata 14","Helsinki","Helsingfors",14,25.0436178847114,60.2303443513437
"243","Mustikkamaa","Blåbärslandet","Mustikkamaa","Mustikkamaantie 8","Blåbärslandsvägen 8","Helsinki","Helsingfors",20,24.992105405271,60.181844391759
"244","Relanderinaukio","Relandersplatsen","Relanderinaukio","Ståhlbergintie 6","Ståhlbergsvägen 6","Helsinki","Helsingfors",16,25.0058079125449,60.1858547331594
"245","Kulosaari (M)","Brändö (M)","Kulosaari (M)","Ukko-Pekan porras","Ukko-Pekkas trappstig","Helsinki","Helsingfors",20,25.0064636871854,60.1889293103178
"246","Tupasaarentie","Stugövägen","Tupasaarentie","Risto Rytin tie 30","Risto Rytis väg 30","Helsinki","Helsingfors",12,25.0153289779219,60.1878871226314
"247","Haakoninlahdenkatu","Håkanviksgatan","Haakoninlahdenkatu","Koirasaarentie 33","Hundholmsvägen 33","Helsinki","Helsingfors",16,25.0208609553502,60.1688685506822
"248","Gunillantie","Gunillavägen","Gunillantie","Koirasaarentie 32","Hundholmsvägen 32","Helsinki","Helsingfors",16,25.0330122371046,60.1719938510831
"249","Isosaarentie","Mjölövägen","Isosaarentie","Köökarinkuja 3","Kökargränden 3","Helsinki","Helsingfors",14,25.0450147987503,60.1755054994249
"250","Reiherintie","Reihersvägen","Reiherintie","Laajasalontie 13","Degerövägen 13","Helsinki","Helsingfors",12,25.0474962642387,60.1677304952092
"251","Laajasalon ostoskeskus","Degerö köpcentrum","Laajasalo shopping center","Yliskylän puistokatu 4","Uppby parkgata 4","Helsinki","Helsingfors",16,25.0519120121374,60.1800091502319
"252","Humalniementie","Humleuddsvägen","Humalniementie","Ryytikuja 2","Kryddgränden 2","Helsinki","Helsingfors",14,25.0530603555751,60.1837062881609
"253","Tammisalon aukio","Tammelundsplatsen","Tammisalon aukio","Väylänrinne 1","Båtledsbrinken 1","Helsinki","Helsingfors",20,25.0610604378889,60.1916636460758
"254","Agnetankuja","Agnetagränden","Agnetankuja","Laivalahdenkaari 24","Båtviksbågen 24","Helsinki","Helsingfors",16,25.0365006704009,60.1872113457581
"255","Laivalahden puistotie","Båtsviksallén","Laivalahden puistotie","Laivalahden puistotie 10","Båtsvikallén 10","Helsinki","Helsingfors",16,25.0313242435422,60.1879616899796
"256","Herttoniemenranta","Hertonäs strand","Herttoniemenranta","Paasivaarankatu 1","Paasivaaragatan 1","Helsinki","Helsingfors",14,25.0261074895481,60.1902241178364
"257","Margareetankuja","Margaretagränden","Margareetankuja","Margareetankuja 4","Margaretagränden 4","Helsinki","Helsingfors",14,25.0372267110383,60.1910267485051
"258","Abraham Wetterin tie","Abraham Wetters väg","Abraham Wetterin tie","Sorvaajankatu 1","Svarvaregatan 1","Helsinki","Helsingfors",16,25.0426533906378,60.1927661994999
"259","Petter Wetterin tie","Petter Wetters väg","Petter Wetterin tie","Hitsaajankatu 16","Svetsargatan 16","Helsinki","Helsingfors",20,25.0310806077186,60.1931499986426
"260","Herttoniemi (M)","Hertonäs (M)","Herttoniemi (M)","Hiihtäjäntie 2","Skidlöparvägen 2","Helsinki","Helsingfors",24,25.0289074357313,60.1946246004701
"261","Asentajanpuisto","Montörsparken","Asentajanpuisto","Asentajankatu 8","Montörsgatan 8","Helsinki","Helsingfors",16,25.0424582865295,60.1991534842401
"262","Siilitie (M)","Igelkottsvägen (M)","Siilitie (M)","Siilitie 2","Igelkottsvägen 2","Helsinki","Helsingfors",22,25.0451499077688,60.2059412826664
"263","Herttoniemen kirkko","Hertonäs kyrka","Herttoniemi Church","Karhutie 11","Björnvägen 11","Helsinki","Helsingfors",16,25.0322254160118,60.1984720937284
"264","Eränkävijäntori","Jägartorget","Eränkävijäntori","Hiihtomäentie 39","Skidbacksvägen 39","Helsinki","Helsingfors",16,25.0336255327162,60.2045796219055
"265","Siilitie 9","Igelkottsvägen 9","Siilitie 9","Siilitie 12","Igelkottsvägen 12","Helsinki","Helsingfors",16,25.0375268074421,60.209453145538
"266","Siilitie 13","Igelkottsvägen 13","Siilitie 13","Sopulirinne 2","Lemmelbrinken 2","Helsinki","Helsingfors",14,25.0438403800837,60.2150936967815
"267","Roihupelto","Kasåkern","Roihupelto","Viilarintie 6","Filarvägen 6","Helsinki","Helsingfors",16,25.0550878014734,60.2093671231044
"268","Porolahden koulu","Porovikens skola","Porolahti school","Roihuvuorentie 6b","Kasbergsvägen 6b","Helsinki","Helsingfors",14,25.0535809447117,60.1955233353498
"269","Peukaloisentie","Tummelitens väg","Peukaloisentie","Untuvaisentie 2","Dunungens väg 2","Helsinki","Helsingfors",12,25.0585469211702,60.1987082869369
"270","Tulisuontie","Kaskärrsvägen","Tulisuontie","Roihuvuorentie 25","Kasbergsvägen 25","Helsinki","Helsingfors",16,25.0600755207072,60.2020741769704
"271","Prinsessantie","Prinsessvägen","Prinsessantie","Prinsessantie 2","Prinsessvägen 2","Helsinki","Helsingfors",16,25.059863346683,60.2062943134753
"272","Marjaniementie","Maruddsvägen","Marjaniementie","Rakettipolku 5","Raketstigen 5","Helsinki","Helsingfors",16,25.076069360708,60.2043248841061
"274","Voikukantie","Smörblommevägen","Voikukantie","Kauppakartanonkatu 10","Handelshusgatan 10","Helsinki","Helsingfors",16,25.0867813029403,60.2090159546746
"275","Itäkeskus (M)","Östra centrum (M)","Itäkeskus (M)","Tallinnanaukio 2","Revalsplanen 2","Helsinki","Helsingfors",28,25.0759744433382,60.2096186210914
"276","Puotinharju","Botbyhöjden","Puotinharju","Turunlinnantie 4","Åbohusvägen 4","Helsinki","Helsingfors",24,25.0824161004374,60.2125560259595
"277","Marjaniemi","Marudd","Marjaniemi","Marjaniementie 23","Maruddsvägen 23","Helsinki","Helsingfors",14,25.0863443649103,60.2036199297435
"278","Puotilantie","Botbygårdsvägen","Puotilantie","Puotilantie 4","Botbygårdsvägen 4","Helsinki","Helsingfors",14,25.1004180257133,60.2090787864561
"279","Puotinkylän kartano","Botby gård","Puotinkylä Manor","Puotilantie 12","Botbygårdsvägen 12","Helsinki","Helsingfors",16,25.1062099916086,60.2125374414988
"280","Puotilan ostoskeskus","Botby köpcentrum","Puotila shopping center","Klaavuntie 11","Klåvusvägen 11","Helsinki","Helsingfors",14,25.0955595128971,60.2127005636951
"281","Puotila (M)","Botby gård (M)","Puotila (M)","Vanhanlinnantori","Vanhalinnatorget","Helsinki","Helsingfors",20,25.0910915854205,60.2148242972699
"282","Karhulantie","Karhulavägen","Karhulantie","Kiviportintie 2","Stenportsvägen 2","Helsinki","Helsingfors",12,25.1022019197012,60.2187064270041
"283","Alakiventie","Understensvägen","Alakiventie","Alakiventie 4","Understensvägen 4","Helsinki","Helsingfors",14,25.0772822325582,60.2198397844715
